scenario_id;test_type;technology;users_chatroom;users_server;chatrooms;senders_per_chat_ratio;payload_size_bytes;interval_ms;avg_message_time_ms;min_message_time_ms;max_message_time_ms;throughput;error_rate;cpu_avg;cpu_max;ram_avg;ram_max
27;scalability_single_user_many_server_users;Polling;1;400;1;1;200;10000;15062,3;13545;16943;;40;;;;
28;scalability_single_user_many_server_users;SSE;1;400;1;1;200;10000;12649;11757;13541;;60;;;;
29;scalability_single_user_many_server_users;SocketIO;1;400;1;1;200;10000;12333,8;11403;13363;;20;;;;
30;scalability_single_user_many_server_users;gRPC;1;400;1;1;200;10000;14506,7;13370;15388;;20;;;;
31;scalability_one_sender_many_receivers;SignalR;10;10;1;0,1;200;10000;37,4;33;45;;0;;;;
32;scalability_one_sender_many_receivers;WebSockets;10;10;1;0,1;200;10000;27,8;25;32;;0;;;;
33;scalability_one_sender_many_receivers;Polling;10;10;1;0,1;200;10000;149,4;76;244;;0;;;;
34;scalability_one_sender_many_receivers;SSE;10;10;1;0,1;200;10000;42;33;61;;0;;;;
35;scalability_one_sender_many_receivers;SocketIO;10;10;1;0,1;200;10000;38;31;55;;0;;;;
36;scalability_one_sender_many_receivers;gRPC;10;10;1;0,1;200;10000;47,8;39;59;;0;;;;
37;scalability_one_sender_many_receivers;SignalR;30;30;1;0,033;200;10000;51,8;45;59;;0;;;;
38;scalability_one_sender_many_receivers;WebSockets;30;30;1;0,033;200;10000;39,2;36;44;;0;;;;
39;scalability_one_sender_many_receivers;Polling;30;30;1;0,033;200;10000;274,2;203;314;;0;;;;
40;scalability_one_sender_many_receivers;SSE;30;30;1;0,033;200;10000;46,2;38;53;;0;;;;
41;scalability_one_sender_many_receivers;SocketIO;30;30;1;0,033;200;10000;55,4;46;63;;0;;;;
42;scalability_one_sender_many_receivers;gRPC;30;30;1;0,033;200;10000;64,2;48;74;;0;;;;
43;scalability_one_sender_many_receivers;SignalR;50;50;1;0,02;200;10000;85,8;73;95;;0;;;;
44;scalability_one_sender_many_receivers;WebSockets;50;50;1;0,02;200;10000;55,6;48;59;;0;;;;
45;scalability_one_sender_many_receivers;Polling;50;50;1;0,02;200;10000;518,8;396;687;;0;;;;
46;scalability_one_sender_many_receivers;SSE;50;50;1;0,02;200;10000;90,2;85;103;;0;;;;
47;scalability_one_sender_many_receivers;SocketIO;50;50;1;0,02;200;10000;59,8;57;65;;0;;;;
48;scalability_one_sender_many_receivers;gRPC;50;50;1;0,02;200;10000;89,8;81;96;;0;;;;
49;scalability_percent_senders;SignalR;30;30;1;0,1;200;200;71,2;61;79;;0;;;;
50;scalability_percent_senders;WebSockets;30;30;1;0,1;200;200;50,8;43;66;;0;;;;
51;scalability_percent_senders;Polling;30;30;1;0,1;200;200;321,6;289;343;;0;;;;
52;scalability_percent_senders;SSE;30;30;1;0,1;200;200;72;58;90;;0;;;;
53;scalability_percent_senders;SocketIO;30;30;1;0,1;200;200;73,6;65;79;;0;;;;
54;scalability_percent_senders;gRPC;30;30;1;0,1;200;200;74,6;64;85;;0;;;;
55;scalability_percent_senders;SignalR;50;50;1;0,1;200;200;104;93;115;;0;;;;
56;scalability_percent_senders;WebSockets;50;50;1;0,1;200;200;68,2;66;71;;0;;;;
57;scalability_percent_senders;Polling;50;50;1;0,1;200;200;631,2;346;736;;0;;;;
58;scalability_percent_senders;SSE;50;50;1;0,1;200;200;132;89;184;;0;;;;
59;scalability_percent_senders;SocketIO;50;50;1;0,1;200;200;76,8;64;88;;0;;;;
60;scalability_percent_senders;gRPC;50;50;1;0,1;200;200;80,4;73;88;;0;;;;
61;scalability_all_to_all;SignalR;10;10;1;1;200;200;80,4;58;102;;0;;;;
62;scalability_all_to_all;WebSockets;10;10;1;1;200;200;54,8;37;73;;0;;;;
63;scalability_all_to_all;Polling;10;10;1;1;200;200;189,4;156;213;;0;;;;
64;scalability_all_to_all;SSE;10;10;1;1;200;200;84,2;45;139;;0;;;;
65;scalability_all_to_all;SocketIO;10;10;1;1;200;200;71,4;51;97;;0;;;;
